Wall time,Step,Value
1701242353.1169508,25,3.0409998893737793
1701242371.785965,50,2.299299955368042
1701242393.627303,75,2.106300115585327
1701242415.7581403,100,2.0292000770568848
1701242438.1890018,125,1.8229000568389893
1701242459.492986,150,1.857800006866455
1701242484.5875108,175,1.732800006866455
1701242504.1900728,200,1.6848000288009644
1701242526.1353893,225,1.6527999639511108
1701242547.7074418,250,1.6267000436782837
